unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts,qgtse,SeasonalNaive
ID1,mase,0.33862466,0.35050774,0.3440786,0.23240083,0.33983254,0.35332942,0.32875437,0.3675137,0.30074754,0.3127868,1.3309436
ID10,mase,1.1638079,1.0951997,1.2672123,1.1294562,1.134099,1.1669583,1.2572947,1.1374286,1.1627407,1.1612066,2.1313908
ID100,mase,0.5302409,0.49406502,0.6181615,0.5378503,0.43344358,0.5728701,0.6639868,0.46764895,0.5326938,0.5677119,0.6221448
ID101,mase,0.6357433,0.563519,0.5940249,1.018704,1.1664954,0.66084874,0.64212674,0.6036076,0.5856917,0.6563235,0.89518845
ID102,mase,0.75369734,1.0960829,0.82905453,0.9367657,1.1494645,0.91722274,0.92388815,0.8874598,0.76168346,0.95383936,1.1054027
ID103,mase,0.571757,0.5505586,0.62813866,0.6171611,0.4892676,0.60536945,0.5323161,0.6158084,0.624299,0.57269347,0.7836867
ID104,mase,0.7665449,0.7890066,0.90456766,1.0009068,0.78813374,0.7883178,0.8094752,0.97922873,0.88534343,0.7457097,1.0984397
ID105,mase,0.7549217,0.7269151,0.8534893,0.9558294,0.7302118,0.749788,0.77053016,0.9333485,0.8384253,0.72544926,0.99127084
ID106,mase,0.33561778,0.37952816,0.30889505,0.34991142,0.39130405,0.32590097,0.37630984,0.38560992,0.35465956,0.3417528,0.4424203
ID107,mase,0.9651556,0.8656289,0.84231085,0.88672125,0.86104196,0.85622156,0.85713017,1.0411783,1.0275431,0.9647026,1.1263956
ID109,mase,1.1956058,1.1054785,1.0529133,1.0552803,1.0882945,1.1655077,1.0821908,1.1698121,1.1212789,1.0564638,1.3157855
ID11,mase,0.8957719,0.87876815,0.90208644,0.9016538,0.88578606,0.86268216,0.8952569,0.82343924,0.88697946,0.90341026,1.0275849
ID110,mase,1.2472277,1.220765,1.1386421,0.9068026,1.1059626,1.1518826,1.2097747,0.95749646,1.2751584,1.1940497,1.0465004
ID111,mase,2.4987285,2.263453,2.5102146,2.194943,2.3187294,2.3997562,2.1182017,2.5056248,2.5817487,2.8056605,3.4543633
ID112,mase,0.73467535,0.79039633,0.6253539,0.77018815,0.634612,0.7073792,0.761023,0.62506044,0.65561426,0.75513166,1.8122567
ID113,mase,0.58211964,0.6425758,0.50486034,0.6713575,0.5166107,0.551659,0.6244636,0.49141824,0.51132894,0.56420934,1.6487256
ID114,mase,0.7585779,0.8099191,0.7944454,0.8831889,0.7961335,0.7900048,0.79653656,0.7204284,0.7189487,0.7912463,2.682198
ID115,mase,0.31260797,0.28959417,0.25591403,0.25147685,0.25575507,0.26672325,0.2870199,0.26247683,0.27641094,0.2866411,0.6967881
ID116,mase,0.77794254,0.7599601,0.7500225,0.77904385,0.7848957,0.7317039,0.998065,0.62423825,0.73794484,0.7772004,0.56888604
ID117,mase,1.2477448,1.2924012,1.153326,1.0773276,1.2035047,1.3442197,1.2425922,1.2112354,1.1753497,1.155856,1.1275458
ID118,mase,0.5171281,0.5825987,0.582557,0.59460413,0.3815362,0.5779836,0.6908441,0.559136,0.4317593,0.5274672,3.9492388
ID119,mase,0.5248584,0.6507163,0.55856156,0.76944655,0.54347026,0.54864115,0.65397173,0.4940837,0.50884366,0.57367224,2.0553684
ID12,mase,0.87013507,0.75649023,0.8034877,0.8664311,0.9468597,0.7755944,0.97492754,0.7975404,0.92074966,0.955192,0.9054125
ID120,mase,0.26088423,0.25296813,0.24040073,0.32279262,0.2507055,0.2831781,0.30929235,0.24819173,0.2894029,0.26880902,0.32082865
ID121,mase,0.36208495,0.4028423,0.40282393,0.4268924,0.32669374,0.30115774,0.2852875,0.30526936,0.3519082,0.3756501,1.612157
ID122,mase,0.45514303,0.59566337,0.40723225,0.6957918,0.4595288,0.5645817,0.50927657,0.4382892,0.40046838,0.44421592,0.72865075
ID123,mase,0.36208495,0.4028423,0.40282393,0.4268924,0.32669374,0.30115774,0.2852875,0.30526936,0.3519082,0.3756501,1.612157
ID124,mase,0.3385792,0.37285358,0.4808117,0.45467263,0.39250588,0.41028887,0.3966134,0.34957692,0.3096189,0.31498772,2.326119
ID125,mase,0.93008333,0.8852094,0.71829927,0.90610176,0.8944328,0.9106454,0.9654164,0.69482815,0.86862797,0.89900464,0.9395154
ID126,mase,0.26052326,0.46558988,0.31465438,0.5269836,0.39145413,0.5964625,0.52244633,0.42938226,0.30186263,0.2642441,0.69265115
ID127,mase,0.6351518,0.6202513,0.6969796,0.7738424,0.48793036,0.72510684,0.73774666,0.57470286,0.6235188,0.6828593,0.69674885
ID128,mase,0.40149763,0.34822991,0.38547754,0.38709953,0.32109275,0.3597161,0.33734778,0.25067466,0.3272068,0.41936257,1.115829
ID129,mase,0.416734,0.38977346,0.29143965,0.34744337,0.33548662,0.40903258,0.372818,0.3481834,0.41621256,0.40626577,0.47546273
ID13,mase,3.4233375,3.4865105,3.2338336,3.2660506,3.6328065,3.4092805,3.1262488,3.6486719,3.4337678,3.358957,2.4192407
ID130,mase,0.502645,0.4831041,0.41272607,0.64415544,0.31980556,0.5182749,0.47891203,0.44817856,0.44462138,0.41081426,1.0970273
ID131,mase,0.6595185,0.6618398,0.8730752,0.8123674,0.8062596,0.78418916,0.7074003,0.7793245,0.7374454,0.7861657,1.8247001
ID135,mase,1.7901716,1.9538285,1.4419615,2.1139824,1.1360964,2.2161014,1.7396538,1.4558432,1.6054914,1.3919777,3.0528395
ID136,mase,0.8268231,0.7494008,0.76761055,0.81645864,1.1729348,0.7933966,0.7401186,0.86700857,0.801784,0.83124685,0.9531713
ID137,mase,1.6975985,1.6066351,1.4818106,1.3516088,1.3113539,1.5457734,1.7639164,1.4578042,1.5562325,1.6803026,0.60115093
ID138,mase,0.6280168,0.79214466,0.8952985,0.9211088,0.6744178,0.78162134,0.65959024,0.86349756,0.7456018,0.72045964,1.3264941
ID139,mase,0.7149727,0.5186803,0.4978551,0.5737369,0.516576,0.57730824,0.7119521,0.6624458,0.67747515,0.5713265,0.88450754
ID14,mase,2.459287,2.3911273,2.1665475,2.062135,2.2126617,2.3035018,2.3120935,2.248603,2.2653284,2.290336,3.4552643
ID140,mase,1.9321573,2.1153681,1.8405426,1.9080142,1.9351223,2.1881964,1.9112763,2.0975714,1.899819,2.0839274,1.5312324
ID141,mase,0.8474453,0.83726645,0.9019227,0.7744052,0.6585142,0.9011044,0.76334417,0.84505635,0.8581674,0.8201403,1.2757688
ID142,mase,0.5651192,0.5584576,0.5113529,0.5128242,0.6045531,0.5808932,0.5435034,0.5785028,0.5591577,0.5845374,0.69485575
ID143,mase,1.4594175,1.5294645,1.1110971,0.8013696,1.0163308,1.1197569,1.4620324,1.3421692,1.3055698,1.376327,1.1728123
ID144,mase,0.8686526,1.4743589,1.0192932,1.3901501,1.3125167,1.7065905,1.1166165,1.1501241,0.89874333,0.7624538,2.8657637
ID145,mase,1.4230781,1.4076284,1.4115819,1.455369,1.5296752,1.4121928,1.567866,1.4523913,1.4656112,1.4674749,1.3393744
ID146,mase,0.9853419,1.053197,0.890287,0.83953077,1.3010203,1.064642,0.85588294,1.1359574,0.98969513,1.132664,1.3084279
ID148,mase,0.6487935,0.61473644,0.5815667,0.52296054,0.6023316,0.61037314,0.5763844,0.5732744,0.60682935,0.6151024,1.3203704
ID149,mase,0.82876164,0.9253067,0.97994345,0.8278071,0.94423276,0.8147972,0.8246239,1.0392226,0.92526126,0.9168969,1.5996094
ID15,mase,0.3757795,0.38872394,0.34356576,0.3198926,0.34627146,0.44269207,0.27773678,0.37567487,0.4140022,0.44547206,0.6028308
ID150,mase,0.8399918,0.84775853,0.74893796,0.54215515,0.79052514,0.7812754,0.79764384,0.8889509,0.8314618,0.8446965,0.83690864
ID151,mase,1.2461231,1.3962371,1.0247412,1.2344341,1.8156847,1.2503126,1.3124747,1.4974284,1.1635259,1.3190686,1.1294643
ID152,mase,0.7321067,0.6344482,0.814074,1.1295352,0.5976371,0.6225742,0.7828218,0.6481662,0.6505239,0.61986285,0.8533367
ID153,mase,0.7203935,0.7366014,0.772444,0.58518547,0.7601533,0.7692345,0.7087904,0.7362683,0.7143571,0.7161174,0.9006949
ID154,mase,0.15026325,0.18755487,0.17573468,0.33639598,0.32120818,0.25696182,0.18445933,0.26279116,0.1590325,0.14536323,1.3824303
ID155,mase,0.18844667,0.16415033,0.26025453,0.1871207,0.21014552,0.16063891,0.14133905,0.16242579,0.19031057,0.19877824,0.46743193
ID156,mase,0.47196284,0.52749765,0.676553,0.8600117,0.9617428,0.7547522,0.63117653,0.7233294,0.68045604,0.65989673,1.9656224
ID157,mase,0.7605694,0.81243634,0.73774916,0.37483296,0.6115569,0.86362046,0.79125005,0.9145463,0.77161616,0.78657764,1.4077095
ID158,mase,0.4349589,0.43349054,0.48210648,0.4676607,0.3911808,0.48168755,0.4312129,0.4451485,0.49619064,0.45015314,1.3308413
ID159,mase,1.1611706,1.1165519,1.008627,1.0047905,1.1001855,1.0880035,1.1439428,1.0831422,1.0976328,1.1688181,0.52017
ID16,mase,0.7458072,0.734749,0.810088,0.8528577,0.82681453,0.7362357,0.82720906,0.8226325,0.83807904,0.7865398,0.8226528
ID160,mase,0.9596697,1.025143,1.036284,1.2249854,1.2243017,1.1785138,0.6803971,1.280497,1.0394319,0.9989796,1.7099007
ID161,mase,0.9869439,0.9270687,0.9615463,0.94720495,0.9509266,0.96671885,0.92132336,0.98207295,0.99751246,1.0107775,1.1637948
ID162,mase,0.49024,0.52323276,0.5780584,0.4241181,0.5965214,0.53251547,0.4232042,0.55202395,0.5339418,0.556236,0.967989
ID163,mase,1.3439956,1.2447006,1.2684962,1.4103659,1.4255494,1.5473503,1.3774507,1.3057588,1.3145624,1.3691816,1.0950634
ID164,mase,0.9905788,1.0225229,0.75948036,1.1211565,1.1443231,0.8044295,0.92197233,0.900875,0.8423306,0.85083646,1.2852246
ID166,mase,0.7456795,0.726861,0.69267696,0.6083215,0.7287655,0.69518995,0.7240795,0.74498475,0.82268375,0.7415087,0.8550217
ID17,mase,0.70303774,0.6336085,0.6435616,0.5855263,0.81385297,0.6987247,0.5698962,0.6633717,0.80041313,0.80537534,0.81046563
ID170,mase,0.7442014,0.77001226,0.6819389,0.8314538,0.6829303,0.761868,0.7799331,0.7360997,0.71870744,0.8403419,0.85717124
ID171,mase,0.55306655,0.55512154,0.5782537,0.57457155,0.59667253,0.5416514,0.49598426,0.5264788,0.55140656,0.5401002,0.6593079
ID173,mase,0.52576464,0.47905144,0.48384053,0.5108089,0.53855264,0.49482775,0.4415566,0.5058637,0.50615126,0.5116923,0.7216893
ID174,mase,0.80856454,0.6458378,0.78911966,0.74000955,0.57197684,0.6958253,0.778642,0.6025161,0.7104189,0.68837345,0.80446875
ID175,mase,0.35070452,0.36222708,0.35150707,0.2909578,0.2822594,0.308663,0.28496066,0.35339078,0.34170708,0.3301676,0.4194902
